depth	min	max	median	wmean
269.5	4424.8	4959.2	4722.3	4724
270.5	4440.1	4997.4	4742.6	4743.8
271.5	4459.1	5033.2	4764.3	4763.5
272.5	4480.1	5071.2	4785	4783.3
273.5	4500.5	5107.6	4803	4802.9
274.5	4517.7	5155.1	4821.1	4822.5
275.5	4524.3	5197	4839.1	4842.5
276.5	4534.7	5246.7	4854.8	4862.5
277.5	4545.3	5292.9	4872.4	4882.6
278.5	4547.7	5344.4	4887.6	4902.1
279.5	4558.9	5392	4901.5	4921.9
280.5	4578.9	5429.7	4920.8	4942.4
281.5	4602.7	5435.9	4941.1	4962.1
282.5	4615.3	5448.2	4962.2	4981.8
283.5	4637	5466	4983.7	5002.7
284.5	4653	5477.2	5004.4	5022.6
285.5	4662.8	5494.5	5026	5042.8
286.5	4676.8	5513.2	5048	5063.2
287.5	4690	5530	5069.3	5083.9
288.5	4697.1	5556.1	5092.6	5104.5
289.5	4709.7	5576.8	5115.8	5125.4
290.5	4720.5	5600.6	5135.1	5145.2
291.5	4730.9	5622.1	5155.6	5165.8
292.5	4745.4	5644.2	5174.9	5186.3
293.5	4754.5	5669.1	5195.4	5206.6
294.5	4759.9	5702.5	5216.6	5227.2
295.5	4769.1	5732.9	5235.3	5246.8
296.5	4780.9	5772	5254.6	5267.5
297.5	4788.1	5810.2	5273	5287.2
298.5	4798.2	5851.6	5293.1	5307.2
299.5	4803.2	5891.2	5312.3	5327.8
300.5	4817.4	5915.5	5330.2	5346.8
301.5	4840.3	5921.6	5350.1	5366.1
302.5	4870.4	5929.1	5371.2	5385.9
303.5	4888.7	5931.1	5390.7	5404.9
304.5	4907.6	5940	5411.6	5423.7
305.5	4925.1	5952.1	5436.2	5443.7
306.5	4944	5958.9	5457	5462.8
307.5	4958.7	5966.9	5480.7	5482.1
308.5	4972.7	5975.8	5503.7	5501.4
309.5	4987.5	5985.5	5526.5	5521.1
310.5	5005.1	5996.7	5549.1	5540.5
311.5	5022.5	6002.3	5572.9	5559.9
312.5	5036.5	6015.9	5594.1	5579.3
313.5	5052.7	6025.7	5616.9	5598
314.5	5058.8	6040	5638.3	5617.6
315.5	5073.5	6055.3	5658.9	5636.7
316.5	5081.1	6070.9	5680.7	5655.7
317.5	5088.7	6087.9	5702.7	5675.3
318.5	5098.6	6104.8	5725.2	5694.4
319.5	5107.8	6128.5	5743.6	5713.4
320.5	5138.5	6142.3	5762.4	5733.6
321.5	5193.6	6146.4	5780.3	5753.5
322.5	5245.7	6148.4	5797.5	5774.1
323.5	5294.4	6157.1	5814.6	5794.4
324.5	5339.7	6160.4	5832.2	5814.7
325.5	5388.2	6169.4	5850.9	5835.2
326.5	5433.2	6175	5868.5	5855.7
327.5	5480.2	6182.8	5886.8	5876.7
328.5	5521.6	6191.7	5904.6	5897
329.5	5566.5	6196.2	5923	5917.8
330.5	5610.8	6208	5940.5	5938.5
331.5	5654	6214	5959.1	5959.6
332.5	5694.7	6224.8	5976.9	5980.3
333.5	5734.2	6236.3	5995.7	6001
334.5	5766.6	6250.2	6015.8	6021.7
335.5	5788.5	6264.1	6036.4	6042.4
336.5	5807.6	6280.5	6059	6063.3
337.5	5823.8	6299.3	6081.7	6083.7
338.5	5838.6	6321.8	6103.9	6104.9
339.5	5856.4	6345.5	6125.4	6125.3
340.5	5880.1	6368	6148.2	6149.2
341.5	5911.4	6397	6174.9	6176.6
342.5	5938.6	6433.4	6202.8	6203.5
343.5	5959.6	6472	6230.3	6230.9
344.5	5980	6516.5	6256.9	6258
345.5	5995.2	6563.6	6281.9	6284.8
346.5	6009.1	6609.9	6306.4	6311.6
347.5	6017.9	6659.3	6330	6338.5
348.5	6029.2	6712.4	6353.3	6365
349.5	6035.3	6769.5	6378.2	6392
350.5	6046.1	6823.8	6400.5	6418.8
351.5	6053.7	6880.3	6426.1	6445.5
352.5	6063.2	6939.1	6448.8	6472.5
353.5	6066	6996.8	6474.7	6499.1
354.5	6075.2	7056.4	6497	6526.1
355.5	6083.6	7111.7	6522.4	6553.4
356.5	6091.4	7171.3	6547.3	6579.8
